method,session,actual_freq,test_freq,window_sec,channel_set,n_harmonics,n_channels_used,mean_stim,mean_rest,cohens_d,pval,accuracy
CCA,20Hz,20,20,0.5,ch_CZ,1,1,0.20869424388976981,0.19332499338632958,0.14412580568292765,1.9484734395036312e-05,0.5555555555555556
CCA,20Hz,20,20,0.5,ch_PZ,1,1,0.17569405981808917,0.17616091265573344,-0.00502566777594263,0.4298121902730574,0.48148148148148145
CCA,20Hz,20,20,0.5,ch_P4,1,1,0.18566822583923692,0.136551617349031,0.5321264368102214,5.181154733893375e-35,0.6790123456790124
CCA,20Hz,20,20,0.5,ch_T6,1,1,0.17121683840578933,0.1401768208438955,0.3557614405343088,4.22372586570383e-19,0.6172839506172839
CCA,20Hz,20,20,0.5,ch_T5,1,1,0.1837439342638491,0.17350198051802823,0.10745627126399927,0.0018668631560684764,0.5061728395061729
CCA,20Hz,20,20,0.5,ch_P3,1,1,0.21809440482566037,0.2124323871367571,0.053309390351190436,0.17044659521934008,0.49382716049382713
CCA,20Hz,20,20,0.5,ch_O2,1,1,0.2203328612422015,0.2254115076392304,-0.04561127372691075,0.8315115260134267,0.4691358024691358
CCA,20Hz,20,20,0.5,ch_O1,1,1,0.20554075624546458,0.19400642944030336,0.10683797558802544,0.0006497132307785198,0.5679012345679012
CCA,20Hz,20,20,0.5,occipital_only,1,2,0.2955349613614142,0.296020098397395,-0.004680291797244706,0.526370000279474,0.43209876543209874
CCA,20Hz,20,20,0.5,parietal_only,1,3,0.3381505462210123,0.3299461435319852,0.08288705303950299,0.03612452806267061,0.5185185185185185
CCA,20Hz,20,20,0.5,all_8,1,8,0.5338995417727598,0.5153042707632366,0.20737490665818226,1.0049511397352808e-07,0.6172839506172839
CCA,20Hz,20,20,1.0,ch_CZ,1,1,0.15189199483526872,0.1354248990043181,0.2101061257234132,1.2260240473242104e-07,0.5802469135802469
CCA,20Hz,20,20,1.0,ch_PZ,1,1,0.12512038182280852,0.1273104584089063,-0.03299741808152051,0.7096096476292161,0.4444444444444444
CCA,20Hz,20,20,1.0,ch_P4,1,1,0.1479026395381058,0.09022011511930969,0.8036315039687434,3.5714504379824e-61,0.7037037037037037
CCA,20Hz,20,20,1.0,ch_T6,1,1,0.12471918769321573,0.08993298419091357,0.5631953695875888,9.167282253779469e-33,0.6666666666666666
CCA,20Hz,20,20,1.0,ch_T5,1,1,0.13010409771560488,0.11806571656542952,0.17446477530876803,3.469709456641676e-05,0.5925925925925926
CCA,20Hz,20,20,1.0,ch_P3,1,1,0.15706109647667915,0.15354159761437539,0.048058074891192855,0.39103172089094024,0.4691358024691358
CCA,20Hz,20,20,1.0,ch_O2,1,1,0.15957349337124785,0.16355650879497,-0.04984925046624742,0.8390265088931477,0.43209876543209874
CCA,20Hz,20,20,1.0,ch_O1,1,1,0.15099404127541322,0.1301304696899998,0.2679084628376898,4.5854094949540936e-11,0.6172839506172839
CCA,20Hz,20,20,1.0,occipital_only,1,2,0.21167068812648882,0.21001108831200577,0.021498458013334262,0.3295804503113241,0.43209876543209874
CCA,20Hz,20,20,1.0,parietal_only,1,3,0.23898001007989236,0.2341946990519716,0.06763453851272998,0.20869795771676503,0.5185185185185185
CCA,20Hz,20,20,1.0,all_8,1,8,0.38568223146649744,0.35877103049613857,0.3744922549589718,3.540798744945e-14,0.5679012345679012
CCA,20Hz,20,20,1.5,ch_CZ,1,1,0.12751174511598845,0.10634896140518396,0.3234210641996061,3.3363610027659053e-10,0.6296296296296297
CCA,20Hz,20,20,1.5,ch_PZ,1,1,0.10337549563651831,0.10491313975862433,-0.028799707784698106,0.7456022669263034,0.4444444444444444
CCA,20Hz,20,20,1.5,ch_P4,1,1,0.13378715212001477,0.06970410050633019,1.00044460896118,7.605534407949395e-61,0.691358024691358
CCA,20Hz,20,20,1.5,ch_T6,1,1,0.1071914638302239,0.0634654210001019,0.8886778457817087,3.3956382951229626e-50,0.691358024691358
CCA,20Hz,20,20,1.5,ch_T5,1,1,0.10811598464961833,0.09360499677141457,0.26395083611497105,1.5062368073154021e-06,0.6049382716049383
CCA,20Hz,20,20,1.5,ch_P3,1,1,0.11867711043201454,0.12398922717136222,-0.0905263629405913,0.9912936372721498,0.41975308641975306
CCA,20Hz,20,20,1.5,ch_O2,1,1,0.1203439275557481,0.12601867724871177,-0.088804161573156,0.9585966284656893,0.43209876543209874
CCA,20Hz,20,20,1.5,ch_O1,1,1,0.12022523966292972,0.10143049972143957,0.3011191534400919,1.7312892066733276e-10,0.6419753086419753
CCA,20Hz,20,20,1.5,occipital_only,1,2,0.16576943611561148,0.16370207463909736,0.033583475882077586,0.3561017515383806,0.4691358024691358
CCA,20Hz,20,20,1.5,parietal_only,1,3,0.18877691393520293,0.18530354101776053,0.0601943290127193,0.18398452081562566,0.49382716049382713
CCA,20Hz,20,20,1.5,all_8,1,8,0.31854388756907753,0.283286483088809,0.5511144989464432,3.832086260440689e-20,0.5679012345679012
CCA,20Hz,20,20,2.0,ch_CZ,1,1,0.11322570035274622,0.08798645789190897,0.4446970154303518,4.8780058603949125e-09,0.6296296296296297
CCA,20Hz,20,20,2.0,ch_PZ,1,1,0.09010073875062324,0.09144420088992941,-0.029896414021754275,0.6699320981756458,0.5061728395061729
CCA,20Hz,20,20,2.0,ch_P4,1,1,0.12487504540979344,0.05839928913468614,1.086138710618294,2.149142068672644e-35,0.6790123456790124
CCA,20Hz,20,20,2.0,ch_T6,1,1,0.09693881038000773,0.05296260700358492,1.0186959551356134,3.883479033480623e-32,0.7407407407407407
CCA,20Hz,20,20,2.0,ch_T5,1,1,0.09528834652415166,0.08268874839575928,0.2690415702456111,0.00032881240739330707,0.6049382716049383
CCA,20Hz,20,20,2.0,ch_P3,1,1,0.09795859615679456,0.1098918127356896,-0.2270359631327047,0.9994884842486734,0.37037037037037035
CCA,20Hz,20,20,2.0,ch_O2,1,1,0.09848628406456832,0.10702304672192757,-0.16427184078653242,0.9945349666102528,0.4567901234567901
CCA,20Hz,20,20,2.0,ch_O1,1,1,0.10224919207790625,0.08418242690951343,0.3363151092295136,3.646547915097088e-07,0.6666666666666666
CCA,20Hz,20,20,2.0,occipital_only,1,2,0.13947440992424273,0.13878260632321357,0.013562285725568536,0.5529207606263085,0.49382716049382713
CCA,20Hz,20,20,2.0,parietal_only,1,3,0.15914703064469357,0.15986882326283294,-0.014778167166078942,0.6599967446071905,0.43209876543209874
CCA,20Hz,20,20,2.0,all_8,1,8,0.28023790731474574,0.24249268282029915,0.6301530997377648,6.372511145189652e-14,0.6172839506172839
CCA,16Hz,16,16,0.5,ch_CZ,1,1,0.22244955432686356,0.2102559076551964,0.10645925130487499,0.011115435546913072,0.5432098765432098
CCA,16Hz,16,16,0.5,ch_PZ,1,1,0.1971322327326152,0.1888550660804436,0.08195699401988678,0.01788262084852803,0.5432098765432098
CCA,16Hz,16,16,0.5,ch_P4,1,1,0.28041891893505316,0.20656400435014957,0.5675928450610691,4.181177628940619e-37,0.5802469135802469
CCA,16Hz,16,16,0.5,ch_T6,1,1,0.23043772138513538,0.20696516546007754,0.20509543651019244,4.079061466467801e-06,0.48148148148148145
CCA,16Hz,16,16,0.5,ch_T5,1,1,0.21291864242222228,0.20716490893292816,0.054986839181013394,0.09811810246440494,0.5185185185185185
CCA,16Hz,16,16,0.5,ch_P3,1,1,0.2147744474849493,0.21396071994350402,0.007639029790985124,0.5002362894080852,0.4444444444444444
CCA,16Hz,16,16,0.5,ch_O2,1,1,0.21777627893998194,0.20485082963551493,0.1241844449433935,0.0008028064136478372,0.6172839506172839
CCA,16Hz,16,16,0.5,ch_O1,1,1,0.22339588954991169,0.2105597528157233,0.12188986913093482,0.0069302952851325785,0.5308641975308642
CCA,16Hz,16,16,0.5,occipital_only,1,2,0.308492521274899,0.2962760100528698,0.12372326033525519,0.0022414228604225746,0.5925925925925926
CCA,16Hz,16,16,0.5,parietal_only,1,3,0.358130612462692,0.3453754586879554,0.13119095758573288,0.0004872474680578632,0.654320987654321
CCA,16Hz,16,16,0.5,all_8,1,8,0.5857777986926552,0.5500879258066304,0.3873659681329042,1.3539827824658186e-21,0.5802469135802469
CCA,16Hz,16,16,1.0,ch_CZ,1,1,0.1637617951552686,0.15076711880431767,0.1532543853084394,0.02273255598363685,0.48148148148148145
CCA,16Hz,16,16,1.0,ch_PZ,1,1,0.14025405123219817,0.13289987501519734,0.1055694081780384,0.010014470007280838,0.5432098765432098
CCA,16Hz,16,16,1.0,ch_P4,1,1,0.23513992422118274,0.14783421651941367,0.7870577977490586,4.886875839135064e-47,0.6172839506172839
CCA,16Hz,16,16,1.0,ch_T6,1,1,0.17751651845489919,0.14473428657743864,0.3727422513604662,1.5872125426401703e-12,0.48148148148148145
CCA,16Hz,16,16,1.0,ch_T5,1,1,0.15568237924548797,0.14233697859908395,0.1752992037153523,0.00028230068886226446,0.5432098765432098
CCA,16Hz,16,16,1.0,ch_P3,1,1,0.15083546876260054,0.15099514185952806,-0.0020483097280438764,0.5140158121419796,0.4444444444444444
CCA,16Hz,16,16,1.0,ch_O2,1,1,0.15394075532545143,0.14544047319065334,0.11484888545734015,0.0407609406213527,0.5185185185185185
CCA,16Hz,16,16,1.0,ch_O1,1,1,0.16595860712006982,0.14288654698202805,0.2860474419131365,3.346006441844695e-08,0.5432098765432098
CCA,16Hz,16,16,1.0,occipital_only,1,2,0.22664956195243144,0.2109929358685792,0.21000630712365964,7.827079378635531e-06,0.5432098765432098
CCA,16Hz,16,16,1.0,parietal_only,1,3,0.2550396047970242,0.24405276801351306,0.15471686691652053,0.00028191743859271967,0.6172839506172839
CCA,16Hz,16,16,1.0,all_8,1,8,0.44624761685238634,0.3931875956932102,0.6269012071008464,6.242149877201177e-34,0.6172839506172839
CCA,16Hz,16,16,1.5,ch_CZ,1,1,0.13815402418549225,0.13087312266422252,0.09716538734765838,0.6194026142809436,0.3950617283950617
CCA,16Hz,16,16,1.5,ch_PZ,1,1,0.11485779146323338,0.11293383640547676,0.03376226145649645,0.25242293595691745,0.5185185185185185
CCA,16Hz,16,16,1.5,ch_P4,1,1,0.21796847127092467,0.1259879154694804,0.8858508153316612,8.062417067882658e-35,0.5679012345679012
CCA,16Hz,16,16,1.5,ch_T6,1,1,0.15924758841485587,0.11967804235092917,0.5083919103814192,9.96892269552057e-15,0.5432098765432098
CCA,16Hz,16,16,1.5,ch_T5,1,1,0.1344231078673665,0.11760236227630098,0.2574464273374814,5.7407788988460526e-06,0.6049382716049383
CCA,16Hz,16,16,1.5,ch_P3,1,1,0.12358266392885352,0.12820411530474624,-0.07400252953405104,0.9244637999760548,0.4444444444444444
CCA,16Hz,16,16,1.5,ch_O2,1,1,0.1269950273549932,0.1225272188632751,0.07393547618543478,0.4042739770825763,0.4444444444444444
CCA,16Hz,16,16,1.5,ch_O1,1,1,0.14133455142197618,0.11844362023177896,0.33063350369549227,3.5895144414806037e-07,0.5925925925925926
CCA,16Hz,16,16,1.5,occipital_only,1,2,0.19022408971693236,0.18010598940815337,0.16106566298716873,0.026256271051575863,0.4567901234567901
CCA,16Hz,16,16,1.5,parietal_only,1,3,0.21378774973781334,0.20285360368027933,0.18547235773565848,0.0012680880464098069,0.49382716049382713
CCA,16Hz,16,16,1.5,all_8,1,8,0.3886393500385145,0.32871062761503944,0.7144110704738392,7.66542903536749e-28,0.5802469135802469
CCA,16Hz,16,16,2.0,ch_CZ,1,1,0.12362663055270087,0.11606914857745507,0.11131882826473512,0.7653656392916479,0.3950617283950617
CCA,16Hz,16,16,2.0,ch_PZ,1,1,0.10117138317214384,0.09802361827435975,0.06268171639599716,0.23491284941044538,0.5185185185185185
CCA,16Hz,16,16,2.0,ch_P4,1,1,0.20760739459051927,0.10796809090615432,0.976596892996744,9.019546601301162e-20,0.6296296296296297
CCA,16Hz,16,16,2.0,ch_T6,1,1,0.14970670151921828,0.10090418945860445,0.67944081202418,7.127000529963677e-14,0.5432098765432098
CCA,16Hz,16,16,2.0,ch_T5,1,1,0.12242525258142573,0.10057806389331111,0.38711947393413326,4.931188216717733e-06,0.6049382716049383
CCA,16Hz,16,16,2.0,ch_P3,1,1,0.10720926013533269,0.11441245555487815,-0.12561264080329182,0.8713677529108297,0.4691358024691358
CCA,16Hz,16,16,2.0,ch_O2,1,1,0.11167507625451921,0.10893683898842497,0.05094971477935217,0.6004357836280672,0.38271604938271603
CCA,16Hz,16,16,2.0,ch_O1,1,1,0.12678282937366775,0.10374384641366657,0.3589467364351709,0.00020020693335798162,0.5308641975308642
CCA,16Hz,16,16,2.0,occipital_only,1,2,0.1698437658208556,0.16040429564251216,0.17014766805545287,0.15521768217796744,0.4567901234567901
CCA,16Hz,16,16,2.0,parietal_only,1,3,0.18980309392755412,0.1765686003360734,0.2521883149905769,0.00043705215674331175,0.6049382716049383
CCA,16Hz,16,16,2.0,all_8,1,8,0.3575026279197231,0.28302066270493614,0.8755181654460551,1.7071140398296137e-21,0.6296296296296297
