session,actual_freq,test_freq,window_sec,channel_set,n_harmonics,mean_stim,mean_rest,cohens_d,pval,accuracy
20Hz,20,20,0.5,ch_CZ,1,11.295041808488389,5.888768075850678,0.054248243884219186,0.013240154879688965,0.5555555555555556
20Hz,20,20,0.5,ch_PZ,1,19.645842709832035,7.0359384367861795,0.019861052019591006,0.8963477005503828,0.4691358024691358
20Hz,20,20,0.5,ch_P4,1,8.292366999098183,6.013993982666349,0.03793585749132614,2.211341429013655e-06,0.5308641975308642
20Hz,20,20,0.5,ch_T6,1,13.417045702813137,4.510172817224611,0.0333506259296116,5.681290918593e-07,0.654320987654321
20Hz,20,20,0.5,ch_T5,1,11.876130349742148,7.366643907113488,0.03517979952484503,0.010920245931266552,0.5679012345679012
20Hz,20,20,0.5,ch_P3,1,21.491082991172053,11.057875175412194,0.025187907007828664,0.1384619506420055,0.49382716049382713
20Hz,20,20,0.5,ch_O2,1,9.132139982387837,4.39181964528822,0.07914831865203009,0.06278972767239284,0.5432098765432098
20Hz,20,20,0.5,ch_O1,1,8.671845471212581,5.385120542295243,0.046030607060608596,0.0011169336516009354,0.5679012345679012
20Hz,20,20,0.5,occipital_only,1,8.90199272680021,4.8884700937917325,0.08605671454983713,0.0037669246242990973,0.6049382716049383
20Hz,20,20,0.5,parietal_only,1,17.671018683582083,8.486819173103955,0.03583067734565137,0.13115197877574458,0.5308641975308642
20Hz,20,20,0.5,all_8,1,12.977687001843295,6.45629157282962,0.06307518318038512,0.0002537486285539354,0.6296296296296297
20Hz,20,20,1.0,ch_CZ,1,2.868382195586306,3.7333712105099517,-0.049236061008301954,0.00039504091263606734,0.5308641975308642
20Hz,20,20,1.0,ch_PZ,1,2.0281926106853225,2.021812743692889,0.0012096430678985336,0.8386350982409032,0.5185185185185185
20Hz,20,20,1.0,ch_P4,1,3.231772642535911,1.4848263284549676,0.3365737344554974,2.5119271200399563e-31,0.6296296296296297
20Hz,20,20,1.0,ch_T6,1,2.455674741181691,1.7753247284547502,0.11422169770555747,7.99421109740712e-17,0.654320987654321
20Hz,20,20,1.0,ch_T5,1,2.416669343740986,1.7709805072949796,0.12387109679469725,0.101772678205515,0.5061728395061729
20Hz,20,20,1.0,ch_P3,1,2.354878882365506,2.3322316409335624,0.003814014822545713,0.7967852380349665,0.4444444444444444
20Hz,20,20,1.0,ch_O2,1,2.554332696169733,2.2904887542182233,0.05066231649390191,0.5337124327960944,0.3950617283950617
